Year,pre_post,Site,Stand,Age,Plot,Treatment,Ntrt,Ptrt,Species,TagID,TotalSA,NumberOfLeaves,WetMass,DryMass,SLA,LMA,LDMC,N,C,Al,Ca,K,Mg,Mn,Na,P,Sr,S,C:N,N:P,Notes,Tag_when_sampled
2016,post,BEF,C6,Mid,1,NP,Yes,Yes,WB,8889,85.19,11,9.45,3.54,24.06,0.042,0.37,30.02,490.22,0.029,5.3,8.95,1.1,0.4,0.277,1.72,0.014,0.87,16.33,17.41,,
2008,pre,HB,HBM,Mid,2,N,Yes,No,RM,2,NA,NA,NA,NA,NA,NA,NA,21.96,501,NA,7.36,6.21,1.77,NA,NA,1.32,NA,NA,22.82,16.62,,
2008,pre,HB,HBM,Mid,2,N,Yes,No,YB,2,NA,NA,NA,NA,NA,NA,NA,29.65,517.73,NA,4.12,6.5,1.77,NA,NA,1.48,NA,NA,17.46,20.06,,
2010,pre,HB,HBM,Mid,3,CONTROL,No,No,BE,2,NA,NA,NA,NA,NA,NA,NA,24.2,487.86,NA,6.48,8.98,1.21,0.4,0.056,1.09,96.61,NA,20.16,22.21,N of b2,
2008,pre,HB,HBM,Mid,3,CONTROL,No,No,YB,2,NA,NA,NA,NA,NA,NA,NA,26.97,504.22,NA,8.58,7.42,1.99,NA,NA,1.24,NA,NA,18.7,21.82,,
2008,pre,HB,HBO,Old,2,N,Yes,No,YB,2,NA,NA,NA,NA,NA,NA,NA,25.33,524.24,NA,3.77,4.46,1.34,NA,NA,1.09,NA,NA,20.7,23.33,,
2008,pre,HB,HBO,Old,3,NP,Yes,Yes,SM,2,NA,NA,NA,NA,NA,NA,NA,15.73,510.87,NA,3.76,5.42,0.75,NA,NA,0.9,NA,NA,32.48,17.56,,
2016,post,BEF,C6,Mid,1,NP,Yes,Yes,YB,313,56.14,16,5.17,1.93,29.09,0.034,0.37,28.65,487.24,0.014,6.12,8.87,1.51,0.41,0.378,1.98,0.016,0.76,17.01,14.47,,
2016,post,BEF,C6,Mid,1,NP,Yes,Yes,YB,370,42.03,12,4.12,1.69,24.87,0.04,0.41,30.11,499.57,0.014,3.3,6.62,0.84,0.3,0.277,1.95,0.007,0.68,16.59,15.45,,
2016,post,BEF,C1,Young,4,NP,Yes,Yes,PC,2156,NA,17,3.72,1.42,NA,NA,0.38,30.56,495.39,0.008,5.96,14.9,1.91,0.18,0.038,1.82,0.008,1.37,16.21,16.77,,
