Year,pre_post,Site,Stand,Age,Plot,Treatment,Ntrt,Ptrt,Species,TagID,TotalSA,NumberOfLeaves,WetMass,DryMass,SLA,LMA,LDMC,N,C,Al,Ca,K,Mg,Mn,Na,P,Sr,S,C:N,N:P,Notes,Tag_when_sampled
2010,pre,BEF,C1,Young,1,P,No,Yes,YB,3,NA,NA,NA,NA,NA,NA,NA,26.06,490.61,NA,6.91,10.39,1.61,2.21,-0.017,1.26,0.018,NA,18.83,20.68,,
2009,pre,BEF,C1,Young,2,N,Yes,No,BE,3,NA,NA,NA,NA,NA,NA,NA,23.19,484.08,NA,6.16,1.56,0.64,0.05,NA,0.95,0.008,1.31,20.87,24.52,"NOT TAGGED, UNDER 10 CM.",
2010,pre,BEF,C1,Young,2,N,Yes,No,YB,3,NA,NA,NA,NA,NA,NA,NA,23.43,487.3,NA,12.76,6.93,3.03,0.43,0.214,1.29,95.24,NA,20.8,18.21,,
2009,pre,BEF,C1,Young,3,CONTROL,No,No,BE,3,NA,NA,NA,NA,NA,NA,NA,22.94,494.52,NA,5.78,8.11,1.18,0.62,NA,1.03,0.007,1.17,21.55,22.21,"NOT TAGGED, UNDER 10 CM.",
2009,pre,BEF,C1,Young,3,CONTROL,No,No,PC,3,NA,NA,NA,NA,NA,NA,NA,20.54,474.52,NA,8.25,10.01,1.67,0.12,NA,0.97,0.024,0.84,23.1,21.17,"NOT TAGGED, UNDER 10 CM.",
2016,post,BEF,C4,Mid,3,CONTROL,No,No,PC,N_A1,58.98,23,4,1.33,44.34,0.023,0.33,53.58,484.37,0.01,7.62,24.69,2.09,0.23,0.111,1.84,0.015,1.7,9.04,29.14,,
2016,post,BEF,C6,Mid,4,P,No,Yes,WB,429,56.99,11,7.23,4.29,13.28,0.075,0.59,30.34,490.53,0.036,6.78,9.35,1.25,0.83,0.345,1.61,0.016,0.83,16.17,18.81,,
2010,pre,BEF,C1,Young,3,CONTROL,No,No,YB,3,NA,NA,NA,NA,NA,NA,NA,22.6,478.46,NA,15.59,9.33,3.89,0.49,0.257,1.21,95.24,NA,21.17,18.71,,
2009,pre,BEF,C1,Young,4,NP,Yes,Yes,BE,3,NA,NA,NA,NA,NA,NA,NA,22.61,474.01,NA,6.32,5.81,1.15,0.78,NA,1.18,0.006,1.05,20.96,19.2,"NOT TAGGED, UNDER 10 CM.",
2009,pre,BEF,C1,Young,4,NP,Yes,Yes,PC,3,NA,NA,NA,NA,NA,NA,NA,24.05,497.76,NA,7.04,12.8,2.26,0.14,NA,1.43,0.01,1.03,20.7,16.77,"NOT TAGGED, UNDER 10 CM.",
2010,pre,BEF,C1,Young,4,NP,Yes,Yes,YB,3,NA,NA,NA,NA,NA,NA,NA,28.42,485.42,NA,9.54,11.59,2.59,0.54,0.238,1.58,92.626,NA,17.08,18.02,,
2016,post,BEF,C6,Mid,4,P,No,Yes,YB,931,37.17,12,3.38,1.33,27.95,0.036,0.39,24.33,496.31,0.043,6.22,8.37,1.42,0.66,0.575,1.89,0.017,0.66,20.4,12.86,,
2016,post,BEF,C6,Mid,4,P,No,Yes,YB,8860,32.16,12,3.55,1.65,19.49,0.051,0.46,19.06,492.14,0.064,5.45,8.54,1.41,0.71,0.885,1.74,0.012,0.58,25.82,10.96,,
2016,post,BEF,C6,Mid,4,P,No,Yes,YB,8870,34.88,12,3.59,1.33,26.23,0.038,0.37,23.32,485.95,0.026,5.88,11.03,1.18,0.7,0.279,1.8,0.012,0.67,20.84,12.97,,
2009,pre,BEF,C2,Young,1,NP,Yes,Yes,BE,3,NA,NA,NA,NA,NA,NA,NA,22.73,485.37,NA,4.8,6.78,1.29,0.54,NA,1.12,0.008,1.68,21.35,20.36,,
2010,pre,BEF,C2,Young,1,NP,Yes,Yes,BE,3,NA,NA,NA,NA,NA,NA,NA,23.24,479.62,NA,6.54,7.8,1.55,1.27,0.047,1.21,92.626,NA,20.64,19.2,,
2009,pre,BEF,C2,Young,1,NP,Yes,Yes,PC,3,NA,NA,NA,NA,NA,NA,NA,21.88,492.3,NA,12.19,9.88,2.9,0.18,NA,1.13,0.025,0.96,22.51,19.28,,
2015,post,BEF,C6,Mid,5,Ca,No,No,BE,580,413.88,15,4.79,2.45,168.93,0.006,0.51,24.25,483.81,0.01,6.29,7.54,1.16,0.4,0.136,0.9,0.01,0.69,19.95,27.08,,
2015,post,BEF,C6,Mid,5,Ca,No,No,BE,803,694.68,16,5.28,2.34,296.87,0.003,0.44,24.22,482.98,0.016,7.44,9.65,1.26,0.33,0.098,0.81,0.016,0.69,19.94,29.92,,
2015,post,BEF,C6,Mid,5,Ca,No,No,BE,860,664.66,9,6.46,3.17,209.67,0.005,0.49,26.05,479.67,0.011,8.6,9.06,0.84,0.49,0.522,0.97,0.015,0.88,18.41,26.8,,
2015,post,BEF,C6,Mid,5,Ca,No,No,RM,569,555.85,9,8.95,3.95,140.72,0.007,0.44,19.73,490.3,0.013,9.14,7.82,1.34,0.42,0.312,1.07,0.021,0.74,24.85,18.36,,
2016,post,JB,JBM,Mid,2,N,Yes,No,WB,8294,101.84,14,6.55,1.99,51.18,0.02,0.3,23.56,493.13,0.021,9,12.09,2,0.33,0.024,1.13,0.02,1.39,20.93,20.84,,
2015,post,BEF,C6,Mid,5,Ca,No,No,RM,823,339.29,8,6.76,3.2,106.03,0.009,0.47,22.31,510.09,0.009,4.63,5.93,0.91,0.29,0.488,1.16,0.007,0.75,22.86,19.27,,
2010,pre,BEF,C2,Young,1,NP,Yes,Yes,PC,3,NA,NA,NA,NA,NA,NA,NA,25.25,490.11,NA,17.81,11.08,4.18,0.24,0.3,1.5,95.24,NA,19.41,16.8,,
2009,pre,BEF,C2,Young,1,NP,Yes,Yes,WB,3,NA,NA,NA,NA,NA,NA,NA,15.58,509.15,NA,5.46,4.33,1.73,0.43,NA,0.95,0.012,1.05,32.67,16.33,,
2010,pre,BEF,C2,Young,1,NP,Yes,Yes,WB,3,NA,NA,NA,NA,NA,NA,NA,16.37,506.2,NA,6.68,8.06,1.59,0.5,0.224,1.01,92.626,NA,30.93,16.17,,
2010,pre,BEF,C2,Young,1,NP,Yes,Yes,YB,3,NA,NA,NA,NA,NA,NA,NA,24.95,492.74,NA,10.17,11.43,2.87,0.52,0.485,1.59,99.661,NA,19.75,15.72,NEW,
2015,post,BEF,C6,Mid,5,Ca,No,No,RM,856,793.22,14,14.53,6.59,120.37,0.008,0.45,20.63,504.85,0.012,4.06,6.26,0.89,0.27,0.141,1.08,0.005,0.64,24.47,19.17,,
2016,post,BEF,C6,Mid,5,Ca,No,No,WB,837,48.77,10,5.44,2.14,22.79,0.044,0.39,23.89,481.27,0.062,10.31,10.62,1.67,0.58,0.799,1.04,0.028,0.72,20.14,22.89,,
2016,post,BEF,C6,Mid,5,Ca,No,No,YB,590,51.42,10,4.23,1.4,36.73,0.027,0.33,23.93,467.21,0.046,15.02,17.24,2.39,0.44,0.674,1.07,0.039,0.97,19.52,22.46,,
2009,pre,BEF,C2,Young,2,CONTROL,No,No,BE,3,NA,NA,NA,NA,NA,NA,NA,22.92,485.53,NA,5.83,6.88,1.3,0.96,NA,1,0.006,1.41,21.19,22.82,,
2016,post,BEF,C6,Mid,5,Ca,No,No,YB,815,48.47,11,4.59,2.58,18.79,0.053,0.56,22.16,462.52,0.062,17.53,11.36,2.5,0.61,0.709,1.17,0.04,0.8,20.87,19.02,,
2016,post,BEF,C6,Mid,5,Ca,No,No,YB,854,60.14,13,5.67,1.56,38.55,0.026,0.28,23.19,466.39,0.035,17.03,11.13,2.6,0.82,0.342,1.05,0.039,0.77,20.11,22.14,,
2015,post,BEF,C8,Old,1,P,No,Yes,BE,215,839.48,13,6.08,2.6,322.88,0.003,0.43,19.71,490.33,0.021,5.9,9.99,1.39,0.5,0.166,1.2,0.012,0.83,24.88,16.38,,
2015,post,BEF,C8,Old,1,P,No,Yes,BE,489,442.73,8,3.19,1.47,301.18,0.003,0.46,21.47,493.91,0.02,5.73,8.98,1.27,0.32,0.39,1.2,0.015,0.77,23,17.83,,
2010,pre,BEF,C2,Young,2,CONTROL,No,No,BE,3,NA,NA,NA,NA,NA,NA,NA,23.48,478.23,NA,6.68,7.51,1.23,2.75,-0.001,0.81,0.007,NA,20.36,29.06,,
2009,pre,BEF,C2,Young,2,CONTROL,No,No,PC,3,NA,NA,NA,NA,NA,NA,NA,22.73,492.1,NA,14.18,8.72,3.83,0.2,NA,1.31,0.041,1.22,21.65,17.4,,
2010,pre,BEF,C2,Young,2,CONTROL,No,No,PC,3,NA,NA,NA,NA,NA,NA,NA,22.6,494.31,NA,15.21,10.74,3.13,0.13,0.343,1.23,92.377,NA,21.87,18.43,,
2010,pre,BEF,C2,Young,2,CONTROL,No,No,YB,3,NA,NA,NA,NA,NA,NA,NA,24.27,496.81,NA,7.96,8.67,2.37,0.49,0.167,1.2,92.377,NA,20.47,20.21,NEW,
2009,pre,BEF,C2,Young,3,P,No,Yes,WB,3,NA,NA,NA,NA,NA,NA,NA,21.38,499.07,NA,7.72,8.46,1.87,0.36,NA,0.91,0.013,1.34,23.34,23.4,,
2009,pre,BEF,C2,Young,4,N,Yes,No,PC,3,NA,NA,NA,NA,NA,NA,NA,22.09,486.69,NA,19.52,6.79,3.27,0.16,NA,0.81,0.049,1.14,22.03,27.21,,
2016,post,BEF,C4,Mid,4,P,No,Yes,PC,NE_A1,26.1,14,2.28,0.86,30.35,0.033,0.38,44.22,476.86,0.009,9.13,19.24,2.19,0.4,-0.079,5.23,0.031,1.46,10.78,8.45,,
2016,post,BEF,C4,Mid,4,P,No,Yes,PC,SW_C3,41.36,13,3.51,1.17,35.35,0.028,0.33,31.77,490.86,0.01,8.2,15.99,1.74,0.23,0.048,2.66,0.023,1.26,15.45,11.93,,
2015,post,BEF,C8,Old,1,P,No,Yes,BE,948,670.85,12,7.15,3.43,195.58,0.005,0.48,21.03,491.28,0.017,3.75,7.25,0.98,0.46,0.16,1.32,0.008,0.65,23.36,15.98,,
2015,post,BEF,C8,Old,1,P,No,Yes,SM,205,534.35,10,7.4,3.43,155.79,0.006,0.46,18.38,492.57,0.017,6.91,9.29,0.59,0.61,0.128,2.3,0.025,1.41,26.8,8,,
2015,post,BEF,C4,Mid,4,P,No,Yes,RM,NO TAG 4,759.66,13,12.2,4.85,156.63,0.006,0.4,20.8,482.8,0.008,12.1,7.33,2.09,0.56,0.477,1.7,0.034,0.73,23.21,12.21,,
2010,pre,BEF,C2,Young,4,N,Yes,No,YB,3,NA,NA,NA,NA,NA,NA,NA,24.07,480.86,NA,14.15,8.43,3.79,0.96,0.256,1.44,95.24,NA,19.98,16.77,NEW,
2015,post,BEF,C8,Old,1,P,No,Yes,SM,209,363.69,12,5.92,2.73,133.22,0.008,0.46,17.6,498.6,0.015,4.44,8.81,0.48,0.58,0.534,2.36,0.012,0.87,28.33,7.45,,
2015,post,HB,HBM,Mid,3,CONTROL,No,No,RM,8419,591.33,21,6.93,2.97,199.1,0.005,0.43,14.77,507.6,0.014,6.77,8.08,1.2,1.17,0.23,1.06,0.017,0.68,34.37,13.88,,
2015,post,BEF,C8,Old,1,P,No,Yes,SM,230,575.15,14,9.16,4.2,136.94,0.007,0.46,16.42,496.68,0.01,5.65,6.6,0.6,0.5,0.422,1.77,0.019,0.69,30.25,9.28,,
2016,post,BEF,C8,Old,1,P,No,Yes,YB,224,45.73,21,5.01,3.56,12.85,0.078,0.71,20.57,477.25,0.028,8.91,9.82,1.65,0.82,1.363,2.02,0.029,0.7,23.2,10.17,,
2015,post,BEF,C8,Old,2,CONTROL,No,No,BE,257,839.83,19,6.94,3.14,267.46,0.004,0.45,25.08,493.99,0.017,6.49,10.9,1.07,0.74,0.227,1.26,0.016,0.81,19.7,19.85,,
2010,pre,HB,HBM,Mid,1,NP,Yes,Yes,BE,3,NA,NA,NA,NA,NA,NA,NA,27.02,490.08,NA,6.32,9.49,1.33,0.45,0.113,1.16,99.458,NA,18.13,23.37,,
2008,pre,HB,HBM,Mid,1,NP,Yes,Yes,SM,3,NA,NA,NA,NA,NA,NA,NA,20.71,515.22,NA,5.2,7.23,0.67,NA,NA,0.85,NA,NA,24.88,24.34,,
2015,post,BEF,C8,Old,2,CONTROL,No,No,BE,283,562.68,21,7.62,3.61,155.87,0.006,0.47,22.74,492.83,0.02,5.98,8.71,1.25,0.6,0.584,1.18,0.016,0.96,21.67,19.28,,
2015,post,BEF,C8,Old,2,CONTROL,No,No,BE,293,360.12,11,5.47,2.85,126.36,0.008,0.52,20.2,496.96,0.016,3.92,7.89,1.01,0.88,0.121,1.03,0.01,0.68,24.6,19.61,,
2015,post,BEF,C8,Old,2,CONTROL,No,No,SM,250,509.44,13,6.4,2.91,175.07,0.006,0.45,18.24,486.68,0.014,7.49,9.93,0.94,0.55,0.177,1.11,0.034,1.03,26.68,16.48,,
2015,post,BEF,C8,Old,2,CONTROL,No,No,SM,269,464.59,13,5.08,2.08,223.36,0.004,0.41,16.07,487.23,0.013,7.77,7.72,1.31,0.9,0.173,0.96,0.038,0.91,30.32,16.77,,
2015,post,BEF,C8,Old,2,CONTROL,No,No,SM,276,673.77,15,8.96,3.6,187.16,0.005,0.4,19.38,491.53,0.014,6.65,9.3,1.41,0.9,0.194,1.18,0.031,1.18,25.36,16.49,,
2016,post,BEF,C8,Old,2,CONTROL,No,No,YB,1046,60.82,15,6.87,4.47,13.61,0.074,0.65,18.83,470.41,0.05,10.94,11.6,2.35,0.86,0.74,1.37,0.043,0.65,24.98,13.75,,
2008,pre,HB,HBM,Mid,1,NP,Yes,Yes,WB,3,NA,NA,NA,NA,NA,NA,NA,22.69,514.62,NA,4.19,7.13,1.11,NA,NA,1.27,NA,NA,22.68,17.83,,
2010,pre,HB,HBM,Mid,2,N,Yes,No,BE,3,NA,NA,NA,NA,NA,NA,NA,26.49,502.15,NA,3.99,8.95,1.13,0.36,0.127,1.13,99.458,NA,18.96,23.5,,
2008,pre,HB,HBM,Mid,2,N,Yes,No,YB,3,NA,NA,NA,NA,NA,NA,NA,29.81,514.19,NA,6.63,5.03,1.86,NA,NA,1.29,NA,NA,17.25,23.19,,
2008,pre,HB,HBM,Mid,3,CONTROL,No,No,WB,3,NA,NA,NA,NA,NA,NA,NA,18.68,504.34,NA,5.21,8.13,1.23,NA,NA,0.96,NA,NA,27,19.39,,
2008,pre,HB,HBM,Mid,3,CONTROL,No,No,YB,3,NA,NA,NA,NA,NA,NA,NA,24.64,520.14,NA,6.71,7.83,1.63,NA,NA,1.31,NA,NA,21.11,18.88,,
2016,post,BEF,C8,Old,2,CONTROL,No,No,YB,2875,66.07,17,6.39,2.6,25.41,0.039,0.41,20.69,474.45,0.024,11.58,12.88,2.74,0.74,0.453,1.64,0.041,0.76,22.93,12.61,,
2016,post,BEF,C8,Old,2,CONTROL,No,No,YB,2880,37.1,14,4.67,1.62,22.9,0.044,0.35,19.84,479.2,0.044,9.72,8.44,2.48,0.77,0.608,1.35,0.035,0.6,24.15,14.73,,
2008,pre,HB,HBO,Old,2,N,Yes,No,BE,3,NA,NA,NA,NA,NA,NA,NA,22.74,505.42,NA,4.39,7.14,1.18,NA,NA,1.15,NA,NA,22.23,19.82,,
2008,pre,HB,HBO,Old,2,N,Yes,No,SM,3,NA,NA,NA,NA,NA,NA,NA,18.35,488.47,NA,2.99,5.83,0.82,NA,NA,1.09,NA,NA,26.62,16.79,,
2008,pre,HB,HBO,Old,3,NP,Yes,Yes,SM,3,NA,NA,NA,NA,NA,NA,NA,15.48,514.59,NA,1.96,3.6,0.66,NA,NA,0.91,NA,NA,33.23,17.09,,
2008,pre,HB,HBO,Old,3,NP,Yes,Yes,YB,3,NA,NA,NA,NA,NA,NA,NA,27.09,511.1,NA,7.39,7.87,2.35,NA,NA,1.23,NA,NA,18.86,22.02,,
2008,pre,HB,HBO,Old,4,CONTROL,No,No,BE,3,NA,NA,NA,NA,NA,NA,NA,20.67,510.52,NA,3.53,3.38,1.31,NA,NA,1.24,NA,NA,24.69,16.64,,
2008,pre,HB,HBO,Old,4,CONTROL,No,No,YB,3,NA,NA,NA,NA,NA,NA,NA,31.17,518.89,NA,8.4,4.28,2.5,NA,NA,1.48,NA,NA,16.65,20.99,,
2010,pre,JB,JBM,Mid,1,NP,Yes,Yes,BE,3,NA,NA,NA,NA,NA,NA,NA,27.61,27.61,NA,7.53,11.02,1.37,0.4,0.105,1.29,94.946,NA,1,21.32,,
2008,pre,JB,JBM,Mid,1,NP,Yes,Yes,PC,3,NA,NA,NA,NA,NA,NA,NA,26.67,488.86,NA,11.81,12.41,2.83,NA,NA,1.19,NA,NA,18.33,22.48,,
2008,pre,JB,JBM,Mid,1,NP,Yes,Yes,SM,3,NA,NA,NA,NA,NA,NA,NA,17.56,503.23,NA,6.86,5.84,1.13,NA,NA,1.01,NA,NA,28.65,17.33,,
2010,pre,JB,JBM,Mid,2,N,Yes,No,BE,3,NA,NA,NA,NA,NA,NA,NA,28.05,492.28,NA,7.01,8.27,1.88,0.3,0.069,1.26,94.946,NA,17.55,22.29,small untagged,
2010,pre,JB,JBM,Mid,3,CONTROL,No,No,BE,3,NA,NA,NA,NA,NA,NA,NA,25.4,494.79,NA,8.06,9.55,1.59,0.24,0.116,1.12,95.351,NA,19.48,22.64,,
2008,pre,JB,JBM,Mid,3,CONTROL,No,No,PC,3,NA,NA,NA,NA,NA,NA,NA,30.07,492.3,NA,12.97,14.95,2.74,NA,NA,1.56,NA,NA,16.37,19.25,(PC3),
2010,pre,JB,JBM,Mid,3,CONTROL,No,No,PC,3,NA,NA,NA,NA,NA,NA,NA,30.85,494.21,NA,9.86,16.97,2.11,0.04,0.102,1.7,95.351,NA,16.02,18.14,(PC3),
2009,pre,JB,JBM,Mid,3,CONTROL,No,No,PC,3,NA,NA,NA,NA,NA,NA,NA,31.73,483.75,NA,8.22,15.26,2.33,0.06,NA,1.82,0.012,2.25,15.25,17.45,"(PC3), under 10cm, in the buffer",
2010,pre,JB,JBM,Mid,4,P,No,Yes,BE,3,NA,NA,NA,NA,NA,NA,NA,25.45,489.26,NA,5.31,10.06,1.51,0.26,0.063,1.09,95.351,NA,19.22,23.34,,
2008,pre,JB,JBO,Old,2,P,No,Yes,SM,3,NA,NA,NA,NA,NA,NA,NA,18.68,480.48,NA,7.94,7.18,1.58,NA,NA,1.06,NA,NA,25.73,17.57,,
2008,pre,JB,JBO,Old,2,P,No,Yes,YB,3,NA,NA,NA,NA,NA,NA,NA,30.81,494.03,NA,9.84,13.58,1.99,NA,NA,1.52,NA,NA,16.04,20.27,,
2008,pre,JB,JBO,Old,3,N,Yes,No,SM,3,NA,NA,NA,NA,NA,NA,NA,18.63,500.17,NA,8.14,7.86,1.01,NA,NA,1.02,NA,NA,26.84,18.23,,
2008,pre,JB,JBO,Old,3,N,Yes,No,YB,3,NA,NA,NA,NA,NA,NA,NA,26.88,497.52,NA,7.45,7.07,1.73,NA,NA,1.27,NA,NA,18.51,21.24,,
2010,pre,JB,JBO,Old,4,CONTROL,No,No,BE,3,NA,NA,NA,NA,NA,NA,NA,20.3,490.08,NA,5.48,7.08,0.86,0.28,0.067,0.99,97.78,NA,24.14,20.61,,
2010,pre,JB,JBO,Old,4,CONTROL,No,No,YB,3,NA,NA,NA,NA,NA,NA,NA,25.24,484.65,NA,11,10.27,2.08,0.4,0.263,1.23,97.78,NA,19.2,20.56,,
2010,pre,BEF,C1,Young,3,CONTROL,No,No,YB,4,NA,NA,NA,NA,NA,NA,NA,24.15,486.3,NA,9.32,10.03,1.7,0.42,0.318,1.3,95.24,NA,20.14,18.51,,
2010,pre,JB,JBM,Mid,3,CONTROL,No,No,BE,4,NA,NA,NA,NA,NA,NA,NA,26.29,500.62,NA,6.93,8.24,1.38,0.19,0.158,1.03,95.351,NA,19.05,25.41,,
2015,post,BEF,C8,Old,3,N,Yes,No,BE,16,494.12,10,4.07,1.84,268.54,0.004,0.45,24.12,490.33,0.021,4.8,8.93,1.46,0.98,0.239,1.19,0.012,0.88,20.33,20.24,,
2015,post,BEF,C8,Old,3,N,Yes,No,BE,299,368.48,12,4.68,2.26,163.04,0.006,0.48,25.18,498.71,0.017,4.27,9.05,0.99,1.22,0.114,1.14,0.009,0.64,19.81,22.18,,
2015,post,BEF,C8,Old,3,N,Yes,No,SM,28,594.11,20,9.16,4.22,140.79,0.007,0.46,19.98,498.24,0.019,5.76,6.51,0.67,0.89,0.121,1.11,0.026,0.65,24.94,17.99,,
2015,post,BEF,C8,Old,3,N,Yes,No,SM,37,482.06,16,4.77,2.15,224.22,0.004,0.45,20.45,493.22,0.027,4.99,8.54,0.92,1.04,0.144,1.32,0.019,0.92,24.12,15.55,,
2015,post,BEF,C8,Old,3,N,Yes,No,SM,2036,650.8,19,9.59,4.42,147.24,0.007,0.46,18.58,498.76,0.027,4.17,7.64,0.5,1.02,0.217,1.01,0.017,0.67,26.84,18.37,original tag was 30,30
2009,pre,HB,HBM,Mid,3,CONTROL,No,No,SM,8540,NA,NA,NA,NA,NA,NA,NA,21.85,481.34,NA,3.43,6.56,0.58,0.57,NA,1.09,0.009,2.05,22.03,20.07,,
2009,pre,HB,HBM,Mid,3,CONTROL,No,No,RM,8557,NA,NA,NA,NA,NA,NA,NA,16.58,511.82,NA,3.85,4.18,0.99,0.26,NA,0.96,0.008,0.86,30.86,17.32,,
2016,post,BEF,C8,Old,3,N,Yes,No,YB,18,38.03,15,4.04,1.67,22.77,0.044,0.41,24.4,482.03,0.039,6.74,11.51,1.62,0.75,0.357,1.57,0.021,0.76,19.76,15.52,,
2016,post,BEF,C8,Old,3,N,Yes,No,YB,31,59.92,16,5.56,2.16,27.74,0.036,0.39,23.4,473.21,0.025,9.87,11.07,2.31,0.68,0.421,1.46,0.034,0.71,20.22,16.01,,
2015,post,BEF,C8,Old,4,NP,Yes,Yes,BE,911,905.64,18,5.81,2.65,341.75,0.003,0.46,26.33,490.84,0.017,6.2,9.4,1.26,0.99,0.102,1.64,0.012,0.91,18.64,16.09,,
2015,post,BEF,C8,Old,4,NP,Yes,Yes,BE,923,858.1,12,6.11,2.79,307.56,0.003,0.46,27.34,492.81,0.019,5.39,10.46,1.1,1.09,0.156,1.24,0.008,0.85,18.03,22.1,,
2015,post,BEF,C8,Old,4,NP,Yes,Yes,BE,935,511.65,14,5.43,2.62,195.29,0.005,0.48,25.35,496.04,0.016,3.84,8.9,0.78,0.99,0.125,1.18,0.005,0.82,19.57,21.54,,
2015,post,BEF,C8,Old,4,NP,Yes,Yes,SM,199,531.04,15,6.78,3.24,163.9,0.006,0.48,19.93,495.09,0.025,3.58,7.1,0.43,1.1,0.102,1.22,0.008,0.65,24.84,16.37,,
2015,post,BEF,C8,Old,4,NP,Yes,Yes,SM,928,471.82,14,6.92,3.23,146.08,0.007,0.47,19.78,491.59,0.022,3.59,8,0.4,1.06,0.144,1.24,0.008,0.73,24.85,15.9,,
2008,pre,HB,HBM,Mid,1,NP,Yes,Yes,RM,8620,NA,NA,NA,NA,NA,NA,NA,22.27,500.82,NA,6.82,6.79,1.46,NA,NA,1.35,NA,NA,22.49,16.55,,
2015,post,BEF,C8,Old,4,NP,Yes,Yes,SM,938,782.99,16,8.81,4.34,180.41,0.006,0.49,21.97,495.39,0.028,4.37,6.68,0.63,1.31,0.147,1.62,0.01,0.66,22.55,13.56,,
2016,post,BEF,C8,Old,4,NP,Yes,Yes,YB,180,52.58,22,4.38,1.64,32.06,0.031,0.37,27.2,494.86,0.039,3.32,12.36,0.97,0.5,0.348,1.76,0.005,0.87,18.2,15.41,,
2016,post,BEF,C6,Mid,1,NP,Yes,Yes,PC,N_A2,44.37,11,3.76,1.36,32.62,0.031,0.36,35.92,491.44,0.01,6.11,14.82,2.06,0.17,0.036,2.13,0.011,1.57,13.68,16.89,,
2016,post,BEF,C6,Mid,1,NP,Yes,Yes,PC,N_A3,24.18,11,2.16,0.82,29.49,0.034,0.38,35.86,490.86,0.009,3.96,10.36,2.07,0.12,0.109,1.91,0.01,1.5,13.69,18.78,,
2016,post,BEF,C6,Mid,1,NP,Yes,Yes,PC,W_C1,42.94,16,3.44,1.27,33.81,0.03,0.37,34.99,491.18,0.012,7.35,8.36,1.39,0.19,0.057,1.74,0.023,1.52,14.04,20.06,,
2016,post,BEF,C8,Old,4,NP,Yes,Yes,YB,409,45.61,15,4.07,1.58,28.86,0.035,0.39,25.18,486.35,0.015,5.96,11.34,1.76,1.02,0.178,1.45,0.01,0.74,19.31,17.4,,
2016,post,BEF,C8,Old,4,NP,Yes,Yes,YB,562,62.5,15,5.84,2.43,25.72,0.039,0.42,26.19,486.47,0.025,7.59,10.46,1.35,0.85,0.227,1.63,0.015,0.78,18.58,16.07,,
2015,post,BEF,C8,Old,5,Ca,No,No,BE,549,900.13,18,7.24,3.73,241.32,0.004,0.52,18.49,486.28,0.018,6.38,6.05,1.48,0.89,0.094,0.95,0.017,0.73,26.3,19.56,,
2015,post,BEF,C8,Old,5,Ca,No,No,BE,556,514.38,8,4.56,2,257.19,0.004,0.44,19.45,475.45,0.017,8.76,8.03,1.34,0.83,0.125,0.91,0.02,0.69,24.44,21.31,,
2015,post,BEF,C8,Old,5,Ca,No,No,BE,559,753.17,13,7.59,3.69,204.11,0.005,0.49,18.09,472.6,0.017,8.54,7.68,1.34,0.91,0.108,0.92,0.019,0.77,26.12,19.68,,
2015,post,BEF,C8,Old,5,Ca,No,No,SM,529,647.06,19,9.77,4.53,142.84,0.007,0.46,17.98,484.02,0.016,9.52,6.52,1.1,1.11,0.092,1.04,0.031,0.87,26.92,17.28,,
2015,post,BEF,C8,Old,5,Ca,No,No,SM,544,538.11,13,6.37,2.76,194.97,0.005,0.43,15.24,482.98,0.014,8.73,6.76,1.02,1.35,0.09,1.04,0.023,0.9,31.69,14.59,,
2015,post,BEF,C8,Old,5,Ca,No,No,SM,557,475.15,13,6.8,3.14,151.32,0.007,0.46,15.23,487.29,0.01,8.21,6.48,0.43,1.09,0.13,0.93,0.019,0.75,32,16.31,,
2016,post,BEF,C8,Old,5,Ca,No,No,YB,531,91.44,19,7.86,3.15,29.03,0.034,0.4,18.71,474.73,0.023,11.59,8.37,1.66,0.65,0.315,1.15,0.024,0.59,25.38,16.22,,
2016,post,BEF,C8,Old,5,Ca,No,No,YB,547,90.38,19,9.42,3.97,22.76,0.044,0.42,21.22,476.81,0.008,15.05,9.73,1.88,0.45,0.133,1.31,0.032,0.71,22.47,16.24,,
2016,post,BEF,C8,Old,5,Ca,No,No,YB,1012,44.5,17,4.81,2.07,21.5,0.047,0.43,23.28,485.42,0.016,12.28,8.09,1.73,0.66,0.256,1.47,0.021,0.73,20.85,15.84,,
2015,post,BEF,C9,Old,1,CONTROL,No,No,BE,67,311.92,7,3.26,1.56,199.95,0.005,0.48,24.56,493.29,0.019,5.1,8.46,1.26,0.89,0.118,1.03,0.008,0.8,20.09,23.85,,
2015,post,BEF,C9,Old,1,CONTROL,No,No,BE,81,371.62,10,3.53,1.69,219.89,0.005,0.48,24.58,493.73,0.022,5.1,8.37,1.43,0.89,0.125,1.05,0.009,0.9,20.09,23.52,,
2015,post,BEF,C9,Old,1,CONTROL,No,No,BE,84,573.17,13,4.4,1.95,293.93,0.003,0.44,25.09,491.24,0.016,4.76,9.57,1.26,0.6,0.142,1.03,0.01,0.82,19.58,24.41,,
2016,post,BEF,C1,Young,1,P,No,Yes,PC,652,34.59,13,4.33,1.67,20.71,0.048,0.39,28.25,489.39,0.011,7.92,13.05,2.53,0.07,0.042,2.81,0.029,1.24,17.32,10.04,,
2015,post,BEF,C9,Old,1,CONTROL,No,No,SM,56,569.1,17,5.99,2.73,208.46,0.005,0.46,19.6,491.61,0.019,5.45,8.08,0.73,0.78,0.18,0.95,0.018,0.94,25.08,20.66,,
