Site,Stand,Plot,Species,Date,N,C,S,CN,Ca,K,Mg,Mn,P,Sr,Comments
BEF,C9,1,SM,10/12/2009,7.83,493.26,NA,63.01934855,8.513974359,4.022820138,0.649506029,1.440991032,0.229306675,0.030015597,
BEF,C9,1,YB,10/12/2009,12.13,496.18,NA,40.90596125,12.68911304,5.504526965,1.991346361,2.353778183,0.338752698,0.030844519,
BEF,C9,3,ASH,10/12/2009,11.46,499.81,NA,43.62991257,8.096880772,5.740428876,0.846780679,0.089267975,0.356090907,0.014723591,
BEF,C9,3,BE,10/12/2009,12.61,507.03,NA,40.20013447,6.759624354,5.114518211,0.749275187,1.572427251,0.402421514,0.009287021,
BEF,C9,3,SM,10/12/2009,6.42,497.24,NA,77.45227346,7.200377093,3.365071695,0.38445532,1.348432088,0.18582096,0.017944768,
BEF,C9,3,SM,10/12/2009,6.39,497.56,NA,77.92115116,7.20871814,3.292398344,0.386191484,1.427255179,0.20683215,0.017376181,
BEF,C9,3,YB,10/12/2009,11.66,487.83,NA,41.84806613,13.41061395,7.294620648,1.939330515,3.803493768,0.332511378,0.025387917,
BEF,C9,4,BE,10/12/2009,9.07,501.12,NA,55.26921775,6.58244593,3.407655179,0.699831426,1.874716161,0.305240441,0.012885576,
BEF,C9,4,BE,10/12/2009,9.03,501.82,NA,55.60179249,6.926508325,3.695280547,0.693885569,1.884253757,0.337718379,0.013970515,
BEF,C9,4,SM,10/12/2009,6.36,495.83,NA,77.9826743,7.204383144,3.160359871,0.680321449,1.79250714,0.212183795,0.021150682,
BEF,C9,4,SM,10/12/2009,6.62,496.06,NA,74.88277518,6.524074539,3.242797014,0.479052587,1.857370316,0.219091432,0.016890467,
BEF,C9,4,YB,10/12/2009,11.38,482.24,NA,42.3713546,15.74210679,5.484301814,2.511746212,4.341229163,0.402900075,0.038918001,
HB,HBO,1,YB,10/16/2009,11.7,501.14,NA,42.82522646,10.76756495,2.014337489,2.826631907,1.582048041,0.424919256,0.039739589,
HB,HBO,2,BE,10/16/2009,10.63,516.14,NA,48.55393619,6.500677135,1.199275719,1.371622457,0.812648021,0.357253465,0.022351261,
HB,HBO,2,SM,10/16/2009,7.76,488.71,NA,62.94012371,5.605137381,3.163915711,1.226347309,1.216545869,0.287606343,0.01660801,
HB,HBO,2,SM,10/16/2009,6.77,502.75,NA,74.25338349,5.253899917,3.149795075,0.69218593,1.263067955,0.284312878,0.018698873,
HB,HBO,2,YB,10/16/2009,12.6,499.44,NA,39.65016283,10.47721649,1.863449745,2.797480161,2.149742837,0.488063151,0.033784626,
HB,HBO,2,YB,10/16/2009,13.35,496.94,NA,37.22800177,12.0975948,3.239406308,3.106147366,2.399370059,0.511209861,0.042964694,
HB,HBO,2,YB,10/16/2009,13.31,500.69,NA,37.62538816,10.64350387,2.298024326,2.994994883,2.055356861,0.521127262,0.036593885,
HB,HBO,3,RM,10/16/2009,7.41,490.92,NA,66.27912293,7.308972762,3.573871286,1.757236995,1.182768774,0.427775511,0.011741195,
HB,HBO,3,RM,10/16/2009,8.23,494.28,NA,60.04732941,7.387508213,3.634930089,1.643436401,1.142606876,0.428669343,0.010425866,second sample (RM#2)
HB,HBO,3,YB,10/16/2009,14.18,500.55,NA,35.30063827,10.55881495,3.308313378,2.597414387,2.081992208,0.644180771,0.029850935,
HB,HBO,4,SM,10/16/2009,7.87,510.31,NA,64.80462464,5.134355544,2.076105304,0.812922589,1.493865184,0.273170343,0.019222907,
HB,HBM,1,SM,10/16/2009,8.29,489.64,NA,59.07482174,6.528838811,5.70631925,0.925746837,1.774971081,0.307617256,0.025045781,
HB,HBM,1,WB,10/16/2009,12.32,512.85,NA,41.61492741,7.436392774,5.224309011,1.215769055,1.779508956,0.501506219,0.022518171,
HB,HBM,1,YB,10/16/2009,12.47,490.18,NA,39.29653051,11.25654225,6.059053982,1.991365054,3.067333131,0.534461648,0.037083882,
HB,HBM,2,QASP,10/16/2009,17.3,511.41,NA,29.55355663,5.964362471,6.228072819,1.137928129,0.661285928,0.821204105,0.020880821,
HB,HBM,2,RM,10/16/2009,7.81,496.28,NA,63.54669511,9.07274106,2.729790356,1.355685713,2.438466956,0.349182577,0.019426795,
HB,HBM,2,SM,10/16/2009,9.51,489.67,NA,51.49896056,6.717866762,4.18175084,0.718827287,2.164359611,0.349600023,0.023041987,
HB,HBM,2,WB,10/16/2009,11.15,511.14,NA,45.8368173,5.933001779,3.379845089,0.912858125,1.179658212,0.396177182,0.02071394,
HB,HBM,2,YB,10/16/2009,13.65,497.81,NA,36.47812307,10.59711458,5.159150479,1.728295666,2.693547607,0.596204973,0.037560366,
HB,HBM,3,QASP,10/16/2009,18.1,517.56,NA,28.58931811,6.109028031,6.489692645,1.332859534,0.616550899,0.753268211,0.024083598,
HB,HBM,3,RM,10/16/2009,7.54,497.91,NA,66.06449138,8.402666415,2.345551299,1.142396709,1.777045858,0.390660248,0.021128631,
HB,HBM,3,WB,10/16/2009,11.9,513.86,NA,43.18103197,6.627847579,4.689458979,1.079737501,1.524861038,0.519925756,0.021736515,
HB,HBM,3,YB,10/16/2009,13.33,501.33,NA,37.59966184,10.55265245,4.898471615,1.924271512,2.521472191,0.587507535,0.036488636,
HB,HBM,4,SM,10/16/2009,8.83,491.72,NA,55.71393021,11.0444917,4.129549324,1.152060098,0.643060184,0.264095267,0.025261157,
HB,HBM,4,SM,10/16/2009,10.16,494.38,NA,48.67472827,6.531088938,4.57237489,0.845037415,2.17493547,0.418278975,0.023004953,
HB,HBM,4,WB,10/16/2009,13.23,509.06,NA,38.47727915,8.657648099,7.835790126,1.1708088,1.64002714,0.414608259,0.032208581,
HB,HBM,4,YB,10/16/2009,13.19,497,NA,37.67953927,9.697990312,5.318026761,1.675144835,2.716505341,0.579219965,0.030008973,
JB,JBO,1,SM,10/16/2009,8.1,479.7,NA,59.20114412,15.3601194,4.698976021,1.180450721,0.753503361,0.273899024,0.037442943,
JB,JBO,2,SM,10/16/2009,8.67,481.32,NA,55.50968519,11.1410983,5.076583967,1.134359178,1.059687977,0.288688243,0.035272525,
JB,JBO,2,YB,10/16/2009,13.21,494.76,NA,37.45669215,16.04465023,7.976334458,2.127780501,1.337084422,0.411895403,0.035086529,
JB,JBO,3,SM,10/16/2009,9.03,486.21,NA,53.86635469,9.776226075,3.469911497,1.044172373,1.429528206,0.340845585,0.031235073,
JB,JBM,1,SM,10/16/2009,8.87,480.01,NA,54.10525147,12.980457,6.385819568,1.247552507,0.849726226,0.345748881,0.036876617,
JB,JBM,1,YB,10/16/2009,13.16,492.64,NA,37.4268392,10.88755349,7.373683301,1.808091548,0.935141056,0.454016768,0.023513036,
JB,JBM,3,QASP,10/16/2009,15.34,502.63,NA,32.77527269,19.13414034,7.021718161,1.097970045,0.076333105,0.82599005,0.046785139,
JB,JBM,3,SM,10/16/2009,9.97,479.15,NA,48.04307717,16.74790523,6.546354402,1.268854228,0.302480057,0.326596658,0.037923762,
JB,JBM,3,WB,10/16/2009,14.36,507.15,NA,35.31110895,13.79127119,8.831334387,1.867103425,0.318379927,0.559727216,0.027632699,
JB,JBM,3,YB,10/16/2009,15.33,497.09,NA,32.42704179,13.35467284,7.482564524,2.015586912,0.402326811,0.584600025,0.028050319,
JB,JBM,4,QASP,10/16/2009,14.16,508.75,NA,35.93147142,11.19174164,5.841435477,2.00055308,0.130352771,0.590209896,0.02828381,
JB,JBM,4,STM,10/16/2009,10.44,477.47,NA,45.74288907,16.74143533,8.197697301,2.482241099,1.21284297,0.469811868,0.034413386,
JB,JBM,4,YB,10/16/2009,13.44,498.25,NA,37.06689398,11.56516379,6.331687399,2.164367168,0.686492879,0.477517572,0.022219915,
JB,JBM,,WB,10/16/2009,13.77,512.85,NA,37.23419891,10.39846082,7.32515042,1.751006763,0.8650573,0.5122254,0.022136713,
