Site,Stand,Plot,Treatment,Ntrt,Ptrt,Species,Al,B,Ca,Fe,K,Mg,Mn,Na,P,S,Sr,Zn,Note,propC,propN,N,CN,Leaf_Number,Mass,Yearcut
BEF,C2,2,Control,0,0,YB,0.0207,0.0228,14.788,0.0607,7.0678,2.1072,4.8089,0.0355,0.3336,0.7245,0.0294,0.2978,Reran and averaged,0.4816,0.0088,8.775,54.88,26,4.39,1988
BEF,C2,3,P,0,1,BE,0.0222,0.0133,6.9459,0.0374,9.2523,0.2792,2.0097,0.2773,1.8702,0.671,0.0104,0.021,,0.4991,0.0064,6.413,77.82,27,6.21,1988
BEF,C2,3,P,0,1,PC,0.0294,0.0166,12.321,0.0393,7.4481,2.0148,0.1334,0.0364,4.5407,0.6183,0.0293,0.0386,Reran and averaged,0.5057,0.0073,7.309,69.19,28,2.6,1988
BEF,C2,3,P,0,1,RM,0.0157,0.0142,8.0398,0.0505,5.7353,1.0238,1.4555,0.5136,4.0248,0.6478,0.0088,0.0184,,0.4881,0.0052,5.21,93.87,27,8.23,1988
BEF,C2,3,P,0,1,WB,0.0299,0.0196,11.0342,0.0378,5.3454,1.4009,2.4655,0.5446,1.5697,0.6485,0.0272,0.2037,,0.5079,0.0066,6.618,76.75,28,4.69,1988
BEF,C2,3,P,0,1,YB,0.0215,0.0307,12.6953,0.0438,7.0233,2.0575,4.239,4.7214,3.2114,0.6584,0.0249,0.2614,,0.4855,0.0075,7.511,64.64,27,4.83,1988
BEF,C2,4,N,1,0,BE,0.0241,0.0089,6.964,0.0413,3.8445,0.6655,1.4478,0.433,0.201,0.7413,0.0133,0.0231,,0.5052,0.0078,7.784,64.91,29,6.35,1988
BEF,C2,4,N,1,0,PC,0.0195,0.0186,10.5543,0.0476,5.6085,2.4002,0.1547,5.8841,0.4761,0.8005,0.0236,0.0174,,0.5615,0.0132,13.194,42.56,27,2.7,1988
BEF,C2,4,N,1,0,RM,0.0136,0.0115,8.4702,0.0504,3.7123,0.9512,1.3548,0.508,0.1786,0.6655,0.0167,0.0322,Reran and averaged,0.5032,0.0062,6.164,81.63,28,7.01,1988
BEF,C2,4,N,1,0,WB,0.024,0.0131,6.5419,0.0447,4.0414,1.1211,1.5693,6.1503,0.1845,0.6507,0.0151,0.1694,,0.5184,0.0072,7.224,71.75,27,4.85,1988
