"","Site","Stand","Species","PlotID","Nlitpre","Calitpre","Klitpre","Mglitpre","Plitpre","Mnlitpre","Plot"
"51","BEF","C4","WB","C4_1",9.375,8.212802185,6.8740740665,1.6615686395,0.2907996465,1.35087702,1
"52","BEF","C4","WB","C4_2",9.9,8.645650691,6.858413345,1.57951755675,0.3199903925,1.74984990075,2
"53","BEF","C4","WB","C4_3",9.497321522,9.1600476415,7.1922537795,1.7247982765,0.3539247995,1.211337913,3
"54","BEF","C4","WB","C4_4",8.93033333333333,7.91665508666667,4.753084095,1.199163705,0.299165411,1.095686876,4
"55","BEF","C4","YB","C4_1",10.743,12.392,5.106,1.402,0.334,1.511,1
"56","BEF","C4","YB","C4_2",10.3,9.572068178,7.220451256,1.816858401,0.340647733,2.776914654,2
"57","BEF","C4","YB","C4_3",8.7045,11.605875705,6.273449567,1.9839595265,0.3636483135,1.873072349,3
"58","BEF","C4","YB","C4_4",9.722,11.49843677,4.724961381,1.8214772255,0.328257992,2.191420507,4
"59","BEF","C6","BE","C6_1",12.9356666666667,7.583622926,4.8216634585,0.97532342,0.3562945965,0.6560009675,1
"60","BEF","C6","BE","C6_2",11.5265,9.69016938,5.6779619165,1.177483206,0.2972442525,1.495019232,2
"61","BEF","C6","BE","C6_3",10.676,9.30197876466667,4.87026033533333,0.933666326,0.336787876333333,1.10562673433333,3
"62","BEF","C6","BE","C6_4",10.848,8.827953513,5.14324286566667,0.987971195666667,0.396028580666667,1.22789099733333,4
"63","BEF","C6","PC","C6_2",11.85,11.48300941,6.433872879,1.569855476,0.544597869,0.206736939,2
"64","BEF","C6","PC","C6_3",16.42,13.29499742,5.123361842,1.96792391,0.813780783,0.316806287,3
"65","BEF","C6","PC","C6_4",16.54,11.24184527,5.997,1.933915404,0.444260686,0.848,4
"66","BEF","C6","RM","C6_1",7.75833333333333,8.057134657,4.253676288,0.869208049,0.408353444,1.303922932,1
"67","BEF","C6","RM","C6_2",6.448,8.831431724,4.194595019,0.785934272,0.3753901,1.415591303,2
"68","BEF","C6","RM","C6_3",6.5215,10.564682025,3.609460061,1.0350047125,0.304739383,1.8148700315,3
"69","BEF","C6","RM","C6_4",7.13666666666667,11.72263285,3.696762969,0.984881501,0.300217295,2.18724311,4
"70","BEF","C6","SM","C6_2",8.59,8.665437912,4.54777211,0.672708474,0.244226142,1.808049865,2
"71","BEF","C6","SM","C6_3",11.35,5.936060835,2.952529955,0.596203897,0.5389125,1.34195077,3
"72","BEF","C6","SM","C6_4",9.95,9.28702975,4.588551205,0.754152836,0.315965834,2.552215448,4
"73","BEF","C6","WB","C6_1",10.804,8.759382243,5.91219240766667,1.04671936233333,0.271681496,0.730884447333333,1
"74","BEF","C6","WB","C6_2",11.036,9.0742292175,5.506421284,1.264203858,0.31286691025,1.2966831035,2
"75","BEF","C6","WB","C6_3",10.843,9.78229613066667,5.577764922,1.24337091433333,0.281541432666667,1.074620455,3
"76","BEF","C6","WB","C6_4",10.8153333333333,10.7185313633333,5.14269201866667,1.62967590366667,0.30463572,2.19693106133333,4
"77","BEF","C6","WB","C6_NA",12.35,10.80989942,6.020129179,1.476324421,0.335710475,2.059322433,NA
"78","BEF","C6","YB","C6_1",12.645,14.03,5.38,2.12,0.32,0.64,1
"79","BEF","C6","YB","C6_2",11.7376666666667,15.19962587,5.63206477933333,2.00004784933333,0.335841039,1.21630697466667,2
"80","BEF","C6","YB","C6_3",9.42266666666667,13.3436999566667,5.753212234,1.93514904466667,0.319767150666667,1.538734285,3
"81","BEF","C6","YB","C6_4",11.54,12.612098745,5.416054081,1.831854723,0.31791738,1.6537563035,4
"82","BEF","C8","BE","C8_1",8.445,8.31,5.82,1.06,0.57,0.61,1
"83","BEF","C8","BE","C8_2",9.222,8.27,4.85,1.295,0.55,0.575,2
"84","BEF","C8","BE","C8_3",10.1585,7.537556097,6.222948553,1.129097801,0.949638994,1.5930410355,3
"85","BEF","C8","BE","C8_4",7.84425,7.440662533,4.2382107395,0.818259441,0.2013339685,1.56073718275,4
"86","BEF","C8","RM","C8_3",7.97,7.108131489,4.850100471,1.090892212,1.112698134,1.323377998,3
"87","BEF","C8","SM","C8_1",6.0115,9.01,5.63,0.62,0.25,0.6,1
"88","BEF","C8","SM","C8_2",6.006,11.41,6.345,1.18,0.505,0.55,2
"89","BEF","C8","SM","C8_3",5.319,7.903432665,4.3299985335,0.5377022435,0.5868242385,1.647448102,3
"90","BEF","C8","SM","C8_4",6.389,7.61785183366667,4.39589084766667,0.580181481,0.218207133,1.313837768,4
"91","BEF","C8","YB","C8_2",11.6965,8.057134657,7.220451256,1.0350047125,0.4573041295,1.07123909933333,2
"92","BEF","C8","YB","C8_3",9.3175,13.28387424,7.4420623705,2.535401372,1.3432796235,2.398255427,3
"93","BEF","C8","YB","C8_4",10.2,11.49769702,6.598167348,2.14962829,0.3546892,3.881987458,4
"94","BEF","C9","BE","C9_1",8.49366666666667,7.33319737133333,4.65468472133333,1.01461800133333,0.234125905333333,0.935567205,1
"95","BEF","C9","BE","C9_2",13.105,8.27,5.954978352,0.9917361865,0.42,0.316806287,2
"96","BEF","C9","BE","C9_3",11.654,6.979812177,5.1972591055,0.7546375935,0.366210757,1.1212136255,3
"97","BEF","C9","BE","C9_4",8.369,7.35723856375,3.9432339315,0.74342924875,0.253239705,1.3672424795,4
"98","BEF","C9","SM","C9_1",7.31825,7.40833479025,4.20478661225,0.594355734,0.19023900025,0.99424275425,1
"99","BEF","C9","SM","C9_2",7.9105,7.385,4.7,0.61,0.185,0.675,2
"100","BEF","C9","SM","C9_3",7.41925,7.22227380825,3.92186750975,0.462661701,0.2281632775,1.03142181675,3
"101","BEF","C9","SM","C9_4",7.132,7.34711442075,3.19078922125,0.627343509,0.21531880675,1.379969364,4
"102","BEF","C9","YB","C9_1",11.3955,11.85455652,5.4072634825,1.9256731805,0.334376349,1.4718890915,1
"103","BEF","C9","YB","C9_2",11.5785,9.16,6.375,1.215,0.375,0.62,2
"104","BEF","C9","YB","C9_3",11.573,12.285306975,7.147310324,1.7996652575,0.341255689,2.136746884,3
"105","BEF","C9","YB","C9_4",10.3326666666667,14.7740355966667,4.61810060466667,1.933915404,0.290966691666667,1.90374305433333,4
"106","HB","HBM","BE","HBM_1",9.363,7.23,4.03,1.03,0.36,0.59,1
"107","HB","HBM","BE","HBM_2",8.756,6.89,3.31,1.18,0.24,0.61,2
"108","HB","HBM","BE","HBM_3",10.044,9.483,1.791,1.514,0.476,2.429,3
"109","HB","HBM","BE","HBM_4",10.996,6.29,6.62,0.82,0.47,0.56,4
"110","HB","HBM","RM","HBM_1",7.871,7.108131489,3.379845089,0.925746837,0.27,1.300996104,1
"111","HB","HBM","RM","HBM_2",8.169,9.07274106,2.729790356,1.355685713,0.349182577,2.438466956,2
"112","HB","HBM","RM","HBM_3",7.54,8.402666415,2.345551299,1.142396709,0.390660248,1.777045858,3
"113","HB","HBM","RM","HBM_4",9.082,6.79787516,6.734446752,1.199163705,0.433758786,1.808049865,4
"114","HB","HBM","SM","HBM_1",8.29,6.528838811,5.70631925,0.925746837,0.307617256,1.774971081,1
